timestamp_pixel,FHR_BPM,TOCO_PERCENT
818,144.0,6.6
819,144.4,6.8
820,145.1,8.2
821,144.1,7.6
822,145.9,7.6
823,145.9,8.9
824,144.8,10.6
825,142.9,10.9
826,140.7,12.2
827,139.0,13.5
828,138.4,13.7
829,138.0,13.0
830,136.3,13.5
831,135.5,13.5
832,132.6,13.2
833,130.3,12.6
834,128.7,14.0
835,125.7,13.9
836,124.4,13.6
837,120.1,15.4
838,118.3,14.2
839,116.4,15.0
840,112.9,14.7
841,113.7,14.0
842,112.9,13.5
843,112.9,13.8
844,111.9,13.5
845,112.9,13.5
846,112.2,13.8
847,115.4,12.8
848,114.4,13.5
849,115.3,14.3
850,114.3,14.0
851,117.0,13.5
852,116.0,12.8
853,118.7,12.4
854,118.1,10.9
855,117.8,9.5
856,117.9,8.0
857,119.9,8.2
858,120.9,8.2
859,120.1,6.5
860,123.0,6.8
861,122.8,8.2
862,123.8,10.9
863,124.3,13.5
864,125.0,13.9
865,126.3,12.5
866,125.8,12.9
867,126.7,12.7
868,129.5,11.5
869,130.4,11.5
870,129.4,11.5
871,129.7,10.9
872,131.4,10.0
873,131.2,8.5
874,132.0,8.5
875,132.4,8.1
876,133.5,8.5
877,134.2,7.9
